4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J1838.2+3223,16.706,61.279,9.475,0.069,9.753,0.639,0.281,0.589,unid,pulsar,0.013,0.168,0.819
4FGL J1838.4-0630,-0.087,25.650,5.393,0.058,19.476,0.607,30.616,0.569,unid,pulsar,0.003,0.010,0.987
4FGL J1838.4-0545,0.250,26.325,5.209,0.072,9.823,0.771,62.125,0.719,unid,pulsar,0.001,0.004,0.995
4FGL J1838.5+3837,18.883,67.397,5.983,0.138,10.758,0.492,0.049,0.371,unid,bll,0.601,0.352,0.047
4FGL J1838.7-0601,0.064,26.132,5.735,0.065,12.238,1.488,3.860,0.181,unid,bll,0.429,0.035,0.536
4FGL J1839.0-1502,-4.132,18.130,7.596,0.109,13.291,0.384,1.311,0.399,unid,pulsar,0.070,0.463,0.467
4FGL J1840.3+1105,7.477,41.603,5.839,0.105,11.621,1.656,0.116,0.567,unid,pulsar,0.379,0.195,0.427
4FGL J1840.4-1705,-5.341,16.445,5.773,0.065,14.771,1.105,0.151,0.261,unid,bll,0.891,0.084,0.025
4FGL J1840.4-1139,-2.879,21.311,9.892,0.083,7.895,1.685,1.817,1.099,unid,pulsar,0.003,0.009,0.988
4FGL J1841.6+7113,26.354,101.904,6.573,0.090,13.820,1000.000,0.091,-0.088,unid,bll,0.905,0.087,0.008
4FGL J1842.1+2737,14.086,57.048,18.706,0.052,25.963,2.210,0.940,1.144,unid,pulsar,0.003,0.008,0.989
4FGL J1842.2-0328,0.457,28.784,4.082,0.110,12.661,0.187,10.403,0.242,unid,bll,0.624,0.324,0.052
4FGL J1842.4-3135,-12.063,3.436,4.329,0.052,7.798,1.753,0.033,0.395,unid,bll,0.923,0.070,0.007
4FGL J1842.8+5311,22.653,82.492,5.182,0.242,26.112,0.100,0.063,0.114,unid,bll,0.851,0.143,0.006
4FGL J1843.3-1242,-4.000,20.689,11.302,0.081,24.327,1.193,1.571,0.565,unid,pulsar,0.003,0.005,0.992
4FGL J1843.6-2219,-8.354,12.061,4.953,0.094,14.351,0.974,0.164,0.677,unid,pulsar,0.059,0.249,0.692
4FGL J1843.7-0326,0.146,28.994,6.203,0.047,8.288,0.237,64.402,0.345,unid,pulsar,0.007,0.011,0.982
4FGL J1844.6-2342,-9.155,10.908,4.917,0.432,16.414,0.100,0.902,0.067,unid,bll,0.614,0.378,0.008
4FGL J1844.7-2110,-8.086,13.221,6.198,0.142,20.065,0.242,0.375,0.236,unid,bll,0.574,0.416,0.010
4FGL J1844.8-0957,-3.066,23.315,7.299,0.096,10.856,0.434,1.622,0.410,unid,pulsar,0.059,0.337,0.604
4FGL J1845.3+5605,23.051,85.625,5.274,0.188,13.242,0.100,0.147,0.136,unid,bll,0.711,0.286,0.004
4FGL J1845.8-0236,0.057,29.973,4.848,0.041,11.566,0.125,9.618,0.135,unid,fsrq,0.538,0.431,0.031
4FGL J1845.8-2521,-10.120,9.518,19.356,0.056,5.871,0.841,3.102,0.550,unid,pulsar,0.011,0.035,0.954
4FGL J1846.0+0507,3.536,36.886,10.032,0.059,12.067,3.562,0.777,0.782,unid,pulsar,0.010,0.004,0.986
4FGL J1846.0-6101,-22.877,334.652,4.054,0.082,22.633,1.041,0.008,0.155,unid,bll,0.926,0.069,0.004
4FGL J1846.5+7731,26.702,108.944,4.766,0.064,11.454,5.276,0.003,0.248,unid,bll,0.912,0.079,0.009
4FGL J1846.9-0247,-0.281,29.930,4.155,0.167,15.138,0.732,20.039,0.797,unid,pulsar,0.001,0.004,0.995
