name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J2007.2-3157,0.000000,1.930966,0.529801,3.534664,0.486426,-11.765614,X,91.246958,0.048078,-29.105923,J2007.2-3157,301.801012,-31.950020
4FGL J2007.9+2511,0.301030,2.242855,0.595901,3.383459,0.069225,-11.453835,X,122.379216,0.067606,-3.969456,J2007.8+2513,301.971647,25.231195
4FGL J2008.9+6742,0.000000,2.423661,0.235152,3.101891,0.309805,-11.699945,fsrq,61.957335,0.081861,18.047476,J2009.0+6742,302.262117,67.714575
4FGL J2009.5+2425,0.000000,1.545752,0.334871,2.975099,0.082538,-11.416582,psr-like,39.875457,0.332031,-4.734473,J2009.8+2430,302.465150,24.511801
4FGL J2009.9-2116,0.602060,2.069691,0.463531,3.425350,0.443720,-11.764152,X,91.446028,0.057317,-26.341485,J2009.8-2117,302.459395,-21.287365
4FGL J2012.1-5234,0.301030,1.773163,0.016761,3.848053,0.549194,-11.806978,bll,55.156125,0.050273,-33.311770,J2012.3-5233,303.095777,-52.563980
4FGL J2013.9-8717,0.778151,1.737640,0.350602,3.869109,0.470430,-12.104238,bll,40.535440,0.048746,-28.062244,J2014.4-8716,303.609929,-87.280624
4FGL J2014.5-1841,0.903090,2.949502,0.349054,2.573046,0.445350,-11.519200,fsrq,45.260812,0.343794,-26.445731,J2014.5-1841,303.648794,-18.690536
4FGL J2014.9+1225,0.301030,2.162669,0.096215,3.366207,0.211609,-11.769740,bll,45.650907,0.063200,-12.216678,J2014.9+1225,303.737673,12.428112
4FGL J2017.3+3525,0.477121,1.888529,0.581353,3.849809,0.001062,-11.601082,bll,62.277817,0.054834,-0.060844,J2017.3+3525,304.326812,35.429666
4FGL J2017.9-0114,0.301030,2.371933,0.247499,3.243907,0.337663,-11.773018,bll,47.837409,0.074443,-19.734551,J2017.8-0114,304.472954,-1.246511
4FGL J2018.0+7903,0.477121,2.511000,0.438291,3.189071,0.385361,-11.899220,fsrq,67.191828,0.070617,22.666163,J2018.0+7903,304.523963,79.062542
4FGL J2022.3+0413,0.301030,1.926196,0.177842,3.738550,0.309520,-12.033923,bll,26.712566,0.077612,-18.030320,J2022.4+0413,305.604326,4.230382
4FGL J2022.6+3716,0.477121,2.613801,0.495038,3.270664,0.003900,-11.213933,X,73.774447,0.141630,0.223477,J2022.5+3728,305.637002,37.467391
4FGL J2023.3-1947,1.041393,2.423410,0.357631,3.104890,0.481405,-11.724375,fsrq,71.592131,0.106196,-28.777227,J2023.3-1946,305.849736,-19.779734
4FGL J2026.0+4718,0.301030,2.264168,0.474051,3.405232,0.092733,-11.653247,X,56.396456,0.064125,5.320863,J2026.2+4719,306.554662,47.317499
4FGL J2026.3+1431,0.301030,2.099350,0.264167,3.337373,0.232611,-11.483557,bll,224.272256,0.040928,-13.450869,J2026.4+1431,306.607272,14.522811
4FGL J2027.0+2811,0.000000,2.359248,0.875826,3.054091,0.102485,-11.191628,X,436.087291,0.040269,-5.882262,J2027.0+2811,306.766762,28.190357
4FGL J2028.8-0010,0.477121,1.856007,0.256562,3.841125,0.368609,-12.070178,bll,33.543633,0.045577,-21.629874,J2028.9-0010,307.228569,-0.174697
4FGL J2029.1-3050,0.000000,1.939673,0.249775,2.854081,0.549265,-11.766535,bll,28.705341,0.248678,-33.316620,J2029.0-3045,307.267606,-30.766155
4FGL J2029.3-2409,0.301030,2.596194,-0.015107,3.000672,0.523058,-11.782224,fsrq,25.974841,0.088259,-31.537570,J2029.3-2409,307.335984,-24.157660
4FGL J2029.4+1013,1.255273,2.624599,0.093774,3.004170,0.283638,-11.623824,fsrq,38.831556,0.124625,-16.477468,J2029.7+1010,307.428159,10.178628
4FGL J2030.0-0310,0.477121,2.185338,0.531216,3.412526,0.396215,-12.067673,X,37.896681,0.085906,-23.341797,J2030.1-0310,307.534457,-3.173303
4FGL J2030.3-5038,0.602060,2.119118,-0.065104,3.430330,0.589025,-11.585855,bll,110.459317,0.029184,-36.087840,J2030.5-5037,307.628301,-50.619536
4FGL J2031.7+3138,0.000000,2.282521,0.450560,3.331338,0.082525,-11.638764,X,58.512643,0.103828,-4.733720,J2031.8+3137,307.970257,31.622430
4FGL J2032.0+0229,0.000000,2.539084,0.060018,3.019175,0.358192,-11.724536,fsrq,32.977695,0.121000,-20.989207,J2032.0+0229,308.019380,2.491848
4FGL J2032.3-0720,1.176091,2.332488,0.241558,3.180415,0.434748,-11.796786,fsrq,51.944027,0.103271,-25.769260,J2032.5-0717,308.133571,-7.287104
4FGL J2032.9-0005,0.301030,2.056280,-0.008657,3.575896,0.381431,-11.744485,bll,51.669520,0.053660,-22.422321,J2032.8-0002,308.212824,-0.042506
