name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J1157.2-6059,296.404,1.225,53.699,0.178,0.803,2.167,0.367,UNID-PSR
4FGL J1157.7-6327,296.944,-1.246,116.027,0.122,1.033,4.986,0.715,UNID-PSR
4FGL J1201.4-6703,298.079,-4.662,42.143,0.115,0.724,0.111,1.273,UNID-PSR
4FGL J1202.9-5717,296.487,5.162,52.842,0.100,1.051,0.242,0.798,UNID-PSR
4FGL J1203.4-6145,297.232,0.574,96.964,0.106,0.583,1.897,0.670,UNID-PSR
4FGL J1203.5-1748,287.120,43.603,110.021,0.060,0.865,0.111,1.755,UNID-PSR
4FGL J1203.5-5745,296.562,4.541,45.751,0.135,1.067,0.190,1.032,UNID-PSR
4FGL J1203.7-6303,297.539,-0.693,146.271,0.083,1.097,5.688,1.147,UNID-PSR
4FGL J1204.3-6111,297.303,1.117,52.091,0.211,1.246,2.988,0.444,UNID-PSR
4FGL J1204.5-5032,295.362,11.644,280.626,0.045,1.506,1.073,1.376,UNID-PSR
4FGL J1205.3-6212,297.576,0.156,64.444,0.088,0.578,1.105,1.074,UNID-PSR
4FGL J1206.8-6038,297.495,1.760,60.695,0.090,0.767,0.647,0.856,UNID-PSR
4FGL J1206.8-5836,296.949,3.748,51.269,0.160,1.191,0.604,0.634,UNID-PSR
4FGL J1207.4-5050,295.868,11.416,440.122,0.037,0.917,1.426,1.589,MSP
4FGL J1207.4-4536,294.912,16.580,228.882,0.045,0.782,0.430,1.163,UNID-PSR
4FGL J1207.9-6443,298.309,-2.231,147.343,0.072,1.169,1.975,1.303,UNID-PSR
4FGL J1208.0-6900,299.037,-6.473,252.514,0.046,0.770,0.851,1.101,UNID-PSR
4FGL J1208.2-6237,297.985,-0.175,1429.020,0.023,0.494,50.582,1.033,young
4FGL J1208.5-5512,296.787,7.174,59.143,0.073,0.909,0.101,1.619,UNID-PSR
4FGL J1209.4-6421,298.410,-1.872,31.537,0.189,0.906,0.339,1.154,UNID-PSR
4FGL J1209.9-5923,297.559,3.271,41.733,0.142,2.000,0.307,1.334,UNID-PSR
4FGL J1210.4-6250,298.250,-0.319,422.967,0.050,1.188,39.574,0.805,UNID-PSR
4FGL J1213.6-5954,298.194,2.598,120.805,0.112,0.852,1.905,0.615,UNID-PSR
4FGL J1213.9-4416,295.890,18.093,373.216,0.040,0.277,1.050,0.393,UNID-PSR
4FGL J1216.7-5911,298.535,3.320,182.779,0.092,0.723,3.962,0.386,UNID-PSR
4FGL J1216.8-5955,298.765,2.680,125.195,0.089,0.527,1.266,0.577,UNID-PSR
4FGL J1218.1-6028,298.835,2.127,39.577,0.151,1.215,0.353,0.978,UNID-PSR
4FGL J1221.4-0634,289.712,55.529,597.940,0.033,0.597,1.107,1.793,MSP
4FGL J1224.6-6408,300.015,-1.418,78.750,0.086,0.536,1.120,0.643,young
4FGL J1225.9+2951,185.363,83.778,1471.297,0.022,0.798,3.069,1.985,UNID-PSR
4FGL J1231.6-5116,299.761,11.498,1156.685,0.035,1.097,11.934,0.576,young
4FGL J1243.1-6754,302.152,-5.044,26.280,0.171,2.000,0.192,0.877,UNID-PSR
4FGL J1244.3-6233,302.133,0.327,204.294,0.042,0.978,5.067,1.901,UNID-PSR
4FGL J1257.0-6339,303.556,-0.780,347.685,0.031,0.775,8.342,1.764,UNID-PSR
4FGL J1259.0-8148,303.206,-18.929,219.449,0.045,0.351,0.463,0.697,MSP
4FGL J1301.6+0834,310.760,71.303,1190.027,0.030,0.606,2.843,1.295,MSP
4FGL J1302.4-3258,305.594,29.844,2033.947,0.020,0.846,9.802,2.593,MSP
4FGL J1302.5-6236,304.182,0.260,75.370,0.091,0.666,2.440,1.116,UNID-PSR
4FGL J1303.1-4714,304.949,15.585,80.037,0.062,2.000,0.160,2.550,UNID-PSR
4FGL J1304.4+1203,315.013,74.595,158.110,0.065,1.744,0.221,1.646,MSP
4FGL J1306.3-6043,304.752,2.093,3159.931,0.016,0.333,67.877,2.947,MSP
4FGL J1306.8-4035,306.090,22.186,592.177,0.033,0.354,2.413,0.414,MSP
4FGL J1308.7+0347,313.814,66.297,112.077,0.054,1.490,0.105,2.506,UNID-PSR
4FGL J1309.1-6223,304.968,0.445,445.704,0.055,1.135,36.894,0.866,UNID-PSR
4FGL J1311.7-3430,307.686,28.173,20417.035,0.011,0.222,205.217,0.645,MSP
4FGL J1312.3-6257,305.291,-0.242,150.916,0.061,0.285,4.569,0.616,UNID-PSR
4FGL J1312.6-6231,305.345,0.187,230.525,0.048,0.594,7.322,1.310,UNID-PSR
4FGL J1312.7+0050,314.838,63.219,3012.834,0.020,0.830,13.384,1.562,MSP
4FGL J1315.7-6220,305.759,0.464,127.570,0.118,0.825,9.878,0.384,UNID-PSR
